# Ometz Dental beautification TODO — 2026-07-06
# Auto-generated by Erebus (design-bot)
# Source: /root/paragu-ai-platform/apps/dra-gabriela/client-context/audits/2026-07-06_ometzdental-full-audit.md
#
# Format: priority | id | severity | owner | file_pattern | title | depends_on
# Separator: tab (\t)
# Comment lines start with #

# ============================================================================
# PHASE 1 — CRITICAL (must fix before next deploy)
# ============================================================================

1.1	CRITICAL	AI	lib/seo.ts	JSON-LD remove fabricated aggregateRating	[]
1.2	CRITICAL	AI	lib/seo.ts	JSON-LD fix telephone "+595****6759"	[]
1.4	CRITICAL	AI	app/[locale]/	Convert 16 duplicate stub pages to i18n routes	[1.1]
1.5	CRITICAL	AI	content/en/cta.json + es/cta.json	Verify WhatsApp "goes live" copy current	[]
4.1	CRITICAL	AI	lib/seo.ts + app/sitemap.ts + app/robots.ts	Canonical URL to ometzdental.com (not dragabriela.paragu-ai.com)	[1.1,1.2]
3.4	HIGH	AI	app/globals.css	Verify .tone-ocean-1 classes apply (silent-noop-trap)	[]
3.2	HIGH	AI	components/ThemeSwitcher.tsx + components/MobileStickyCta.tsx	Fix bottom-right overlap on mobile (375x812)	[]

# ============================================================================
# PHASE 2 — HIGH (within 1 week)
# ============================================================================

1.3	HIGH	AI	content/{en,es}/{clinic,contact,contacto,privacy,privacidad}.json	Replace 5 placeholder copy instances with real address + RUC	[]
1.6	HIGH	AI	content/{en,es}/{faqs,home-faq,ld-faq}.json	Document which file is for what (add _usage field)	[]
1.7	HIGH	AI	lib/content.ts + app/[locale]/blog/page.tsx	Verify 3 blog posts render on /blog	[]
2.1	MEDIUM	Luana	app/globals.css + components/	Verify all gold-on-functional usages are OK per Rule 1	[]
2.3	MEDIUM	AI	components/sections/Hero.tsx	Fix aria-roledescription="carousel" (implement kbd nav OR remove)	[]
2.4	MEDIUM	AI	app/globals.css	Add prefers-reduced-motion overrides for animate-* classes	[]
3.1	MEDIUM	AI	content/tokens.json + app/globals.css	Reconcile tokens.json with globals.css (regen or delete orphan)	[]
3.3	MEDIUM	AI	app/globals.css	Verify all animate-* keyframes exist (silent-noop sweep)	[2.4]
5.1	MEDIUM	AI	components/sections/Hero.tsx	Fix hero image preload — remove srcset from SVG	[]
8.1	MEDIUM	AI	.git/hooks/pre-commit + .git/hooks/pre-commit-config.json	Make pre-commit base-url per-app	[]

# ============================================================================
# PHASE 3 — MEDIUM (next 2 weeks, polish)
# ============================================================================

